comment,emotion
Waksy bez Przemka i Pauliny to nie będzie to samo.... Dziękuję za piękne chwilę które z wami spędziłam będzie mi was brakowało,SADNESS
"Panowie - ze strachu przed Politechniką chcecie iść na wojnę . Odwagi matematyka i fizyka nie jest taka straszna , możecie żyć , nie musicie ginąć .",SURPRISE
"2:34 ten fragment zrobił mi dzień ,jaki Gengar jest uroczy! 😍",JOY
"Hinol mistrz, super rytm, bit, nowość a już klasyk 💕 chyba kupię sobie do auta ich płytę, najlepszy rap to Polska wersja amen.",JOY
jeszcze więcej filmów z tym filtrem plis,JOY
"Tomek i Przyjaciele to animacja mojego dzieciństwa. I te stare sezony piękne się zestarzały. Jej niezwykłym atutem było to, że była dosłownie dla wszystkich. Zarówno dziecko, jak i rodzic oglądający z nim ten program telewizyjny, dobrze się przy tym bawili, co nie występuje we współczesnych wersjach Tomka.",JOY
"Przez te blond włosy i jasne kolorki masz vibe Enid z ""Wednesday Addams"" 🌈🌈💖",LOVE
Moim zdaniem argentyna zachowała się strasznie chamsko na tym meczu a karnego powinno nie być,LOVE
"8:20:35 „pozdrawiamy rodzine Muśków” XD, koza nie zapomnę tego",JOY
To jedna z najlepszych piosenek jakie widziałem jest mega!!!😃😃,JOY
"piękny ten rap dzisiejszy, temat piosenki nie oklepany wow",JOY
Uwielbiam zarówno Ciebie jak i Andziaksów. Dla mnie vlog idealny,JOY
jakim cudem to jest Numer #1 na karcie Na czasie?,ANGER
Jesteście silni 🥰przesyłam waszej 3 dużo zdrowia i mnostwo miłości ❤️❤️❤️❤️,LOVE
"Szpaku w takich numerach jesteś najlepszą wersją siebie. Dziękuję Ci,że jesteś. Czasami uczysz,czasami pomagasz a czasami po prostu można się dobrze zabawić przy twojej muzyce.",LOVE
"Twój głos tak pasuje do komentowania paradokumentów że powinieneś zastąpić głos tych narratorów, aż się popłakałam ze śmiechu XD",JOY
Polska Wersja jak zawsze konkretne rozpierdolenie!🔥💪,JOY
"Miałam tak we Florencji ze plotkuje sobie ze znajoma i przystojnym księdzu, a on się odwraca i mówi „hej co tam” po polsku 😅",JOY
Szanuje za świetne współpracę a nie scamy i inne,LOVE
Wyczuwam memy w powietrzu... ❤️❤️❤️ (jak te z delfinami),JOY
Oboję musicie iść na TOP MODEL ❤❤❤💖💖💖,LOVE
"Nieprawdopodny mecz jakościowo i emocjonalnie. Genialny Mbappe, wybitny Di Maria, wybitni polscy sędziowie na czele z Marciniakem, pożegnanie Darka Szpakowskiego. No i w końcu ostatni taniec, natchnionego duchem Diego, Lionela Messiego - upragniony Puchar, nagroda najlepszego gracza turnieju, najlepszy gracz w historii. Piękne :)",LOVE
Jak zwykle niezła nuta bo jusz słyszałem i widziałem nut i to jest dobra nutaaaaaa!!!!.nuta 10/10!,JOY
o koniach to się nie spodziewałem,SURPRISE
Uwielbiam takie sample. DEKS Ty KOZAKU! 🇵🇱💪👊,JOY
Cudownie walczyłaś ! Ocena sędziów to tylko ich wizja. Byłam w 100% pewna że wygrałaś. A najbardziej mnie ujęłaś słowami: trudno... bez szukania winnych po przegranej. A ważniejsze jest co sama czułaś po walce . Jesteś wielka!!!!,LOVE
Masz ukryty talent 🔥🔥🔥🔥 niech zostanie ukryty 🔥🔥🔥🔥🔥🔥🔥,ANGER
"Mam nadzieję, że nasz rząd niedługo będzie miał podobny challenge.",SURPRISE
Tylko 2 miesiące a już tak wygląda dla mnie dużo się zmieniła ale dalej jest bardzo słodziutka❤️😁🐶🐕,JOY
Zróbcie jakiś wielki hałas na kanałach dla Edzia dla świeżo upieczonej mamy i taty ♥️♥️♥️♥️♥️,JOY
"3 tydzień oczekiwania na Buddę aby się spotkać cyknac fotę ✌️ może kiedyś uda się dostrzec ten komentarz, prosił bym o łapki w górę 👍",SADNESS
"Pamiętam jak spotkałem Cię pierwszy raz na żywo. To było jakoś w czerwcu tego roku, byłem jednym z tych co budowali trybunę na torze w Modlinie. Mimo, że jesteś w ciul bogaty to widać, że sam się dorobiłeś ciężką pracą i dla pozostałeś normlanym w porządku gościem. Szacunek dla Ciebie za to robisz, bo aż miło patrzeć jak ktoś jest tak szczęśliwy z tego co robi. Życzę Ci wielu sukceców.",LOVE
Pięknie oglądać ten sam moment z różnych perspektyw,LOVE
"Ty teraz to mnie zaskoczyłeś, myślałem ze to auto klasy premium",SURPRISE
"XDDD lexy to jak opowiadasz o przypałach że obgadywanie innych po polsku to nie mogę taką bekę cisne ,śmiać się nie mogę przestać .",JOY
No kurła w końcu! Ile można czekać na nowy materiał ulubionego komika!,JOY
Proszę o więcej Gugu x 2115 💪❤️,LOVE
"Więcej takich konferencji i więcej śmiechu jak niema wyzwisk ,mi się oglądało fajnie ;)",JOY
Mega dobry numer i mega COLLAB👏👏👏 Za każdym razem kiedy wychodzi nowy numer to jeszcze lepszy!!!!,LOVE
Takiej nuty brakowało od Kizo. Jest sztos 😎😎🤑,LOVE
"Zrobiłem dzisiaj wersję nr 1, dodałem na poczatku posiekaną łodygę selera naciowego do cebuli, tak to reszta wg Pana przepisu. Taki sposób nie jestem pewien ale chyba się nazywa 'po giżycku'. Tak czy siak wyszły fenomenalnie, zjadłem parę łyżek, resztę zasłoikowałem do lodówki. Zrobiłem wg przepisów na Pana kanale już ponad 10 potraw i za każdym razem wszystko top. Bardzo dziękuję i czekam na następne :)",LOVE
"Kiedyś pewien sklep reklamował się ""nie dla idiotów"", chyba ciągle aktualne 😄😄",JOY
Twoje filmy i szorty są bardzo fajne i mi się fajnie je ogląda 👍,LOVE
"Widać że byłeś genialnym handlowcem dużo się nauczyłeś i bardzo dobrze z tego korzystasz, pozdrawiam kupię ten los bo jest on dobrze sprzedamy",LOVE
"-Widzisz to drzewo? -Tak, dziękuję za zaliczenie",JOY
"Po raz pierwszy widzę ""teledysk"" Sanah w tym stylu. Powiem szczerze, że miła odmiana. GOOD JOB SIS!",LOVE
Powrót Kubana cieszy bardziej niż jakby Polska wygrała mundial,JOY
Ja bym chętnie kupił kalendarz adwentowy z fast foodami.,LOVE
Dzięki Sebuś za taki materiał bo ten popularny kanał streamingowy by tak dobrze tego nie zrobił Ps może też nagrasz odcinek które wygrało w głosowaniu z tym BMW,JOY
"Ewcia wygladasz super.Pokoik cudo ,jasny daje taki spokoj👍.Pozdrawiam kochani👶❤❤❤",JOY
Ja bardzo lubię wszelkie rozdymka i roladki. W żadnym sklepie takich nie ma jak swojej roboty. Pozdrawiam serdecznie 😋😁👌,JOY
Jak ktoś oglądał program więzienie. To on też tam był xD,JOY
"Marti jesteś dobrym reżyserem, można zrobić konferencje kulturalną na poziomie i żeby było wesoło tak jak teraz",JOY
Jestem mega ciekawa reakcji tej pani z recepcji w ostatnim apartamencie 😂😂😂😂😂😂,SURPRISE
mocny banger aż wyjebało mi jedynki z miejsca,SURPRISE
Myślałam że powie że tyle razy się na lekcji budziła że już milion razy to liczyła xd,JOY
"Na wstępie zabrało mi słynnego tekstu ,,A teraz kolej na kod Coobcio. A co to jest kod Coobcio??? Jak to ku**a co???"". A nie przepraszam, to nie ten kanał 🤣🤣🤣",JOY
"Był kręcony klip na festivalu 🔥 cieszę się, że mogłem być częścią tego utworu 🔥",LOVE
Najlepiej gdy mówisz po amerykańsku..naturalnie i na luzie.Pozdro😘,LOVE
"7:37 Mój pies ziewa identycznie !! Tak samo daje uszy , też tak piszczy… po prostu tak samo ! I jego uszy tak samo wyglądają ❤",SURPRISE
Czy tylko dla mnie ta kolekcja jest śliczna ma piękne kolory,LOVE
"Nie ma was przy sobie .. mama , brat , siostra , czas rozdzielił, lata swoje zrobiły , zadzwonić powiedzieć cześć jestem pamiętam kocham , płacze ♥️✌️🔥",SADNESS
Kocham twoje vlogi ❤❤ Czekam na więcej filmów,JOY
"Dawaj reakcje na Palion ,,Czerwone"" Czekałam na to!!!!",JOY
Hania w piosence: Ja wierzę w kamienie,SURPRISE
"Paweł coraz bardziej się rozkręca . Brawo Kamil i Piotrek ... No a Dawid dziś , to osobna liga ✌️!",LOVE
"Giga spoko, że mówisz tym właścicielom wprost - Może po takim bezpośrednim ""komentarzu"" naprawią to chętniej pozdro",JOY
"Rok temu słuchałem na pętli ""Nisko jest niebo"". w 2022 w rocznice dnia, w którym ją straciłem wychodzi ten kawałek...refren dotyka jakoś inaczej.",SADNESS
"Cała nuta jest totalnym rozpierdolem, ale szpaku wraz z chivasem to po prostu coś nie do opisania 🕷️🔥😍",LOVE
"Prze pięknie wygląda te kolory prezentują się pięknie ♡ bardzo się cieszę,że już czujesz się lepiej Edzio robi postępy super♡♡ czekamy na niego ♡",LOVE
Ale że nie pociął tych opon do Supry to szacunek. Wrzucajcie więcej materiału z życia bo to świetne jest,JOY
Oglądanie z rana Adama to coś pięknego nawet gdy jestem przeziębiona ❤❤ Dziękuje Ci za poświęcony czas i Życzę Wesołych Świąt 💙💙,LOVE
"Robiłem takie cuda ale zamiast indyka dawałem golonkę. Farsz z golonki rewelacyjnie klei całość, nie rozpada się nawet przy krojeniu na cienkie plastry na krajalnicy.",JOY
To był najlepszy mecz jaki oglądałem w życiu! Coś wspaniałego!,LOVE
Czemu masz taki dziwny głos 🤨?,SURPRISE
Według mnie Paweł wygląda dobrze w takich włosach (a raczej bez włosów)❤️ Miłego oglądania ❤️,JOY
czekałem na ten odcinek! w końcu tomek nie wygra fify XD. Miłego oglądania!,SURPRISE
Pamiętam jak jakiś czas temu ciągle tego słuchałam w starej wersji przypomina mi się ❤️,JOY
"Uwielbiam twoje filmy, dziękujemy za poświęcony czas Adam<3 miłego oglądania wszystkim",LOVE
NATALIA DALAŚ Z SIEBIE 100% JESTEM Z CIEBIE BARDZO DUMNA DLA NAS WYGRAŁAS JESTEŚ WSPANIAŁA🥹🏆 I PRZY OKAZJI WSZYSTKIEGO NAJLEPSZEGO DUZO SZCZESCIA ZDROWIA SPEŁNIENIA MARZEN I ZAWSZE UŚMIECHU NA TWARZY KOCHAMY CIE NATALIA🥹🏆🍾,LOVE
Ewcia wszystkiego dobrego dla Was. Niech Edzio rośnie zdrowy i jest dla Was radością. 🙂🤗💙❤💙❤💙,LOVE
Fajnie się bawiłem ❤ Widzimy się w GTA!,JOY
Mega lepsze od Zielone a to jak się widzi to obrazu chce się słuchaś . Epickie 😊,JOY
"Aż się prosi o odcinek o Romanie.. mój ulubiony piłkarz dzięki któremu w 2006 roku zainteresowałem się piłka, prawdziwy artysta przez ciężki charakter już trochę zapomniany",JOY
12.00 i Calibra w roli głównej.Pozdrawiam M4K 👍🚗❤️,LOVE
Myślę że mało jaka nauczycielka dałaby się tak wkręcić A jeśli...To pytanie byłoby z dziedziny danego przedmiotu,SURPRISE
To jest hit porostu hit niewiarygodny głos mistrzowski tytuł mistrza świata to jest super dziękujemy za twoje odcinki i starania😁😁😁😁😁😁💛💛💛💛💛❤❤❤❤❤❤,LOVE
jezu nie mogłem się doczekać tego powrotu słonia i szpaka piękne 💚🖤,JOY
Tyrz mam karbun tylko lepszy bo z domieszka zwyklego zderzaka.. 😀😇😇😇😇😇😄😁😁🤣,JOY
No co idzie przeżyć chętnie bym tak na rok na testy przyjął takiego żeby samemu przetestować,SADNESS
"Pudzian zachował się niczym Marcin Najman. Nie pokazał charakteru i serca w walce i pięknie odklepał. Widać, że szkoła Najmana",JOY
"Szpaku rozjebal , uwielbiam tego artystę ☄️",LOVE
Myślałem że do sklepu wrzucisz poduszkę swojej głowy co dostałeś szkoda ale fajnie że masz sklep i Nela jest fajnym pieskiem😊😊 A jakiej rasy jest Nela?,SURPRISE
"Na Tybura od dawna fala hejtu a wydaje się o wiele normalniejszym gościem niż cała reszta fighterow zadymiarzy. Jak jest gala to wie, że jest z tego hajs i trzeba kręcić aferę, a tutaj normalny sympatyczny gość. Nie wynosi syfu do prywatnego życia jak reszta.",ANGER
"Już kiedyś pisałam - talent, talent i jeszcze raz talent. Brawo Panowie. Zaskakujcie Nas nadal. ❤️",LOVE
"Zdrowych , spokojnych , smacznych i wesołych świąt dla wszystkich którzy to widzą i dla was chłopaki ❤️😎🎄🎅",JOY
Gościu ty nawet nie wiesz ile czekaliśmy na Twoje zmartwychwstanie…,JOY
Będzie lecieć na wyciszonych słuchawkach 🔥🔥🔥🔥🔥,JOY
"Czekałam na taki kontent, latarka UV wymiata 😂😊",JOY
Krecia jesteś cudowną kobietą. Serce na dłoni. Jestescie super rodzinką 😘,LOVE
"FAJNE, MOZE JAKBYM BYL BANANOWYM GIMBUSEM Z DOBREGO DOMU UDAJACYM ULICZNIKA TO WLACZYLBYM NAWET DRUGI RAZ I POSLUCHAL A TAK TO RACZEJ NIE, POZDRO!!",ANGER
Bo mój młodszy brat zrobił ja sobie chociaż zawsze wolał Del Piero i Juwe ja miałem 12lat a on 9,JOY
zajebiście brzmi na odłonczonych słuchawkach xD,JOY
Chyba wszyscy Poczuli ten smutek gdy przy Alicji było 2136 a nie 2137. Nazwijcie ktoś swoje dziecko alicja!!!,SADNESS
"znalazłem to podczas słuchania piosenki „Gandi - 3 telefona” , respect from 🇦🇱",JOY
"Najlepszy finał mistrzostw świata od wielu, wielu lat. Niesamowite emocje. Wielkie widowisko. Brawo.",LOVE
"Krecia, cudowna energia od Ciebie bije i to poczucie humoru, uwielbiam!",LOVE
"Myslicie ze to prawda, ze na fejmowo wybijaja sie nowi influ? Poszukajcie sobie tejstronki sami",SURPRISE
Uwielbiam twoje ✨shorty✨! 😋 Chętne zobaczę więcej takich filmów na twoim kanale🙃 (bo mało ich masz),JOY
"Mamed, na szczęście czasy się zmieniają i łzy u mężczyzn są naturalną sytuacją. Taka jest ludzka natura, biologia i cieszę się, że pomimo wychowania nas wbrew naturze potrafimy normalnie o tym mówić 👍 Facet mówiący o tym, że nie płacze jest nieszczęśliwym człowiekiem, ponieważ tłumi emocje, a to jest wbrew ludzkiej naturze. Gratulacje Mamed i cieszę się, że walka zakończyła się w taki sposób bez poważnych urazów i kontuzji mających duży wpływ na Wasze zdrowie 👍👍",JOY
"Szczerze? Porównanie twórców yt na przestrzeni ostatnich lat jest super pomysłem na materiał zwłaszcza, że siedzisz w tym biznesie wiele lat, analizujesz działalność twórców i posiadasz wiedzę której większość widzów nie ma. Mam nadzieję, że zobaczymy niedługo taki materiał!",JOY
"Jeśli oni nie będą razem to nie wierzę w miłość. Jeb*ć ogra, free Szympek. Pozdrawiam",ANGER
Napewno nie jedna osoba podniesie głowę do góry i pomyśli jak ważna jest RODZINA !!!!! WIELKIE DZIĘKI PW ZA WASZĄ TWÓRCZOŚĆ !!!!,JOY
1. Niestety jestem po ciemnej stronie mocy. :V 2. Nie miałbym problemu z zadaniem pytania na lepszą ocenę do sprawdzianu gdzie brakuje punktu do oceny dopuszczającej. 3. Po jakiego grzyba nauczyciela pyta o jakieś drzewo jak może zapytać o coś ze sprawdzianu. 4. Czemu nauczycielka nie odpowiedziała że spoko zadam Ci pytanie ale jak nie odpowiesz to dostaniesz 2 banie z odpowiedzi.,SURPRISE
W każdej piosence Gibbsa czuć tą magie. Niesamowite 🥲,JOY
Urocza. Nic nie udawane edytowane tylko prawdziwy komediowy talent,LOVE
"No cóż można powiedzieć xD ""JEST WSZYSTKO ZROBIOOONE"" XD",JOY
Smerf na teściu 💣 Auto piękne i cudnie zrobione gratulacje dla przyszłego właściciela. 😊,JOY
"Wariaty...powodzenia dla wszystkich biorących udział 😉 Budda...co tu więcej mówić, na polskim YT jesteś nie do podrobienia 😀😀",LOVE
"Chcemy KARASIA na ławie, na pewno będzie ciekawym gościem.",FEAR
Świetny wywiad. Bardzo kompetentny gość !!!,LOVE
Wystarczy jedno zdanie tej Pani by wiedzieć z kim się ma do czynienia..bez komentarza..,ANGER
"Nie może być lepiej, wczoraj, Genzie 24 filmy a teraz Karol dokument😍",LOVE
Nie umiem. To jest takie urocze❤️,LOVE
to chyba jedyna nuta paliona ktora da sie sluchac i jest szczerze zajebista 🔥,LOVE
Nikt nie pytał każdy potrzebował ❤Beezy chyba zawsze będzie poprawiał mi humor,JOY
"Pomysł na odcinek, montaż, muzyka jak zwykle na najwyższym poziomie !! Nie jeden reżyser filmów akcji może się od Ciebie uczyć mordko!!",LOVE
"dwa odcinki w jeden dzień? szkoda, że nie zdążyłem obejrzeć ale miniaturkę i tytuł widziałem :))",SADNESS
"Ewa widać, że ten film kosztował Cię dużo emocji, ale Youri widać że jest totalnie"" rozemocjonowany"". Mega szacun chłopie, że nie wstydzisz się uczuć. Super, że chcecie rozganizowac zbiórkę. Jesteście mega. Duuuuuzo zdrówka dla Waszej Trójki ♥️♥️♥️♥️♥️ Ps. Też jestem wcześniakiem, żyje, wszystko ok, mam 37 lat😉",LOVE
"Nie każdy temat jednakowo mnie interesuje, ale każdy okazuje się jednakowo ciekawy. Dzięki Panie Drewniak! 🤘",LOVE
0:09 Uwielbiam takie praktyczne efekty specjalne (bez CGI).,LOVE
Pani Kidawa niestety nie ma już mózgu. Zostawiła go w domu i zapomniała gdzie jest. Do dzisiaj nie może go znaleźć. Musimy jej pomóc i zostawić ją w domu na dłużej. PO poniżej progu 5% poproszę!!!!!,SURPRISE
"Ten jeden odcinek zmienił całą fabułę tego kanału, ale mimo wszystko to fantastycznie przemyślane",SURPRISE
"Świetnie się słucha oglólnie bardzo dobra nuta! ,🥰",JOY
Krecia jesteś bardzo gościnna i ślicznie wyglądasz ♥️,JOY
"Kochani, bardzo się cieszę że wróciliście i podzieliliście się Waszą historią z nami. Jestem pewna, że wszyscy którzy was oglądają przesyłają MASĘ MIŁOŚCI i dla Edzia, i dla Was :* Mnie ten film pokazał, że trzeba doceniać każdą chwilę razem i być przygotowanym na wszystko. Sama czekam na swojego synka (termin na Sylwester) i popłakałam się przy waszym filmie uświadamiając sobie jak duży to był dla was stres - Youriego nie tylko o syna, ale też o ciebie Ewa. Widać, że cała sytuacja was zbliżyła do siebie, przewartościowała wasze życie. Jestem z was dumna, że zachowaliście zimną krew i zachowaliście w sposób odpowiedzialny. Dodatkowo cieszy też fakt, że trochę odczarowaliście publiczną służbę zdrowia - sama będę rodzić (mam nadzieję, że w terminie) w publicznym szpitalu, gdzie położne już podczas samej szkoły rodzenia okazały mnóstwo ciepła. Tak jak mówicie obydwoje - to wszystko tak miało się wydarzyć, ale całe szczęście polega na tym, że dobro wraca :* a jesteście dobrymi ludźmi i na pewno jeszcze wiele dobra przed wami :* teraz wypoczywajcie, już niedługo wasz syn będzie z wami :* Ewa - jesteś mega dzielna i będziesz wspaniałą mamą! Youri - jesteś wspaniałym ojcem i dasz wspaniały przykład synowi. Vlogmasy nagrywajcie jak będziecie mieli do tego głowę. Poczekamy na was - są inne priorytety (przede wszystkim wasze zdrowie - szczególnie psychiczne, po takiej ciężkiej sytuacji) i najważniejsi jesteście WY :) Moc serdeczności dla was ode mnie i mojego kopiącego synka :)",JOY
Warto pochwalić sędziowanie P. Marciniaka i jego ekipy! Mega dobre i mądre decyzje!,JOY
"„Boże! Tesle są do kitu, przecież tam skrzypią 2 kawałki plastikuuuu”😂",SURPRISE
"Słucham i nie ukrywam, że przeraża mnie to co słucham. To państwo nie tylko jest w ruinie ale także z dykty jeśli nie papieru toaletowego.",SADNESS
"Jesteście cudownymi ludźmi. Kochacie siebie nawzajem. Youri jesteś taki prawdziwy,niczego nie udajesz żeby ktoś uważał Cie za fajna osobę. Ewa zawsze taka sama.Wrazliwa,uczuciową fajna dziewczyna. Razem z synkiem tworzycie piękną rodzinę. Jestem pewna ,że wszystko ułoży się dobrze. Moja córeczka choruje na nowotwór. Uwielbia Youriego. Życzymy Wam samych cudowności byście każdego dnia byli tacy sami.Tacy prawdziwi.Zdrowka dla Was i waszego synka.Wesolych Świat kochani.",LOVE
Chłop gada o tej koszulce od 2 lat,ANGER
"Montaż pierwsza klasa, rozpierdol totalny. Pozdrawiam",LOVE
Jedzcie z tym do terenwizji!! 🔥🔥,JOY
@sanah kocham Cię🥰. Moim marzeniem jest być jak Ty. Cały czas wszystkich zaskakujesz.❤️,LOVE
"Odc. 502 - nielegalne walki na pięści w podziemiach szkoły. Poziom abstrakcji poza skalą, polecam xD",JOY
"Kiedyś oglądałam tego bardzo dużo i postanowiłam polecić jedne z moich ulubionych odcinków. W odc. 71 gwiazdą jest trzynastolatka, która postanawia sporządzić eliksir miłosny z własnej krwi miesiączkowej, w odc. 72 mamy dziewczynę, przekonaną że spotkała UFO. Świetny jest też chociażby odcinek 149 z laską, sprzedającą podstawowe produkty, jak chociażby proszek do pieczenia, jako narkotyki tylko po to, by zdobyć popularność, w odc. 158 mamy zakład o to, który z przyjaciół dłużej nie będzie zmieniał ubrań oraz karierę szkolnego pana do towarzystwa, no i odc. 273 z dziewczyną, uzależnioną od picia płynu do dezynfekcji rąk. Musiałam się przez to przekopać, bo kiedyś oglądałyśmy te odcinki z mamą i siostrą tylko po to, by się pośmiać. A tam można znaleźć prawdziwe ""skarby"", więc nie poddawaj się, Naruciaku, jeszcze wszystko przed Tobą ;)",LOVE
Piękna miniaturka Sebastianie. Potrzebujemy więcej brodatych pociągów,JOY
Świnkę morską można nazwać Pestka ✨🐹,JOY
"Czekam na filmik ""Kivi naprawia silnik Clio"" 😁 Patryk, nie czekaj tylko wstawiaj Clio na remont silnika do Kiviego, on się nim lepiej zaopiekuje niż swoją Żona 🙈",JOY
Nie wierze taka radość z przegranej-chwilowy pozór walki-to wyglądało na ustawke-byłem i takie odnosze wrażenie,SURPRISE
